"","sex","age","entity","year_month","head_count"
"105","Female","25yearsandover","Waterford County","2002M03","2027"
"106","Female","25yearsandover","Westmeath County","2002M03","1246"
"107","Female","25yearsandover","Wexford County","2002M03","2316"
"108","Female","25yearsandover","Wicklow County","2002M03","1424"
"109","Male","Under25years","Carlow County","2002M04","246"
"110","Male","Under25years","Cavan County","2002M04","198"
"111","Male","Under25years","Clare County","2002M04","348"
"112","Male","Under25years","Cork County","2002M04","1880"
"113","Male","Under25years","Donegal County","2002M04","1143"
"114","Male","Under25years","Dublin County","2002M04","4761"
"115","Male","Under25years","Galway County","2002M04","974"
"116","Male","Under25years","Kerry County","2002M04","533"
"117","Male","Under25years","Kildare County","2002M04","460"
"118","Male","Under25years","Kilkenny County","2002M04","262"
"119","Male","Under25years","Laoighis County","2002M04","249"
"120","Male","Under25years","Leitrim County","2002M04","77"
"121","Male","Under25years","Limerick County","2002M04","903"
"122","Male","Under25years","Longford County","2002M04","195"
"123","Male","Under25years","Louth County","2002M04","965"
"124","Male","Under25years","Mayo County","2002M04","551"
"125","Male","Under25years","Meath County","2002M04","306"
"126","Male","Under25years","Monaghan County","2002M04","300"
"127","Male","Under25years","North Tipperary","2002M04","244"
"128","Male","Under25years","Offaly County","2002M04","276"
"129","Male","Under25years","Roscommon County","2002M04","113"
"130","Male","Under25years","Sligo County","2002M04","292"
"131","Male","Under25years","South Tipperary","2002M04","433"
"132","Male","Under25years","Waterford County","2002M04","657"
"133","Male","Under25years","Westmeath County","2002M04","314"
"134","Male","Under25years","Wexford County","2002M04","696"
"135","Male","Under25years","Wicklow County","2002M04","460"
"136","Male","25yearsandover","Carlow County","2002M04","984"
"137","Male","25yearsandover","Cavan County","2002M04","972"
"138","Male","25yearsandover","Clare County","2002M04","1595"
"139","Male","25yearsandover","Cork County","2002M04","8561"
"140","Male","25yearsandover","Donegal County","2002M04","4884"
"141","Male","25yearsandover","Dublin County","2002M04","19967"
"142","Male","25yearsandover","Galway County","2002M04","4216"
"143","Male","25yearsandover","Kerry County","2002M04","2805"
"144","Male","25yearsandover","Kildare County","2002M04","1920"
"145","Male","25yearsandover","Kilkenny County","2002M04","1128"
"146","Male","25yearsandover","Laoighis County","2002M04","907"
"147","Male","25yearsandover","Leitrim County","2002M04","552"
"148","Male","25yearsandover","Limerick County","2002M04","3620"
"149","Male","25yearsandover","Longford County","2002M04","797"
"150","Male","25yearsandover","Louth County","2002M04","3522"
"151","Male","25yearsandover","Mayo County","2002M04","3153"
"152","Male","25yearsandover","Meath County","2002M04","1381"
"153","Male","25yearsandover","Monaghan County","2002M04","1260"
"154","Male","25yearsandover","North Tipperary","2002M04","978"
"155","Male","25yearsandover","Offaly County","2002M04","1161"
"156","Male","25yearsandover","Roscommon County","2002M04","777"
"157","Male","25yearsandover","Sligo County","2002M04","1147"
"158","Male","25yearsandover","South Tipperary","2002M04","1696"
"159","Male","25yearsandover","Waterford County","2002M04","2668"
"160","Male","25yearsandover","Westmeath County","2002M04","1395"
"161","Male","25yearsandover","Wexford County","2002M04","2970"
"162","Male","25yearsandover","Wicklow County","2002M04","1926"
"163","Female","Under25years","Carlow County","2002M04","192"
"164","Female","Under25years","Cavan County","2002M04","131"
"165","Female","Under25years","Clare County","2002M04","234"
"166","Female","Under25years","Cork County","2002M04","1188"
"167","Female","Under25years","Donegal County","2002M04","871"
"168","Female","Under25years","Dublin County","2002M04","2700"
"169","Female","Under25years","Galway County","2002M04","734"
"170","Female","Under25years","Kerry County","2002M04","370"
"171","Female","Under25years","Kildare County","2002M04","329"
"172","Female","Under25years","Kilkenny County","2002M04","163"
"173","Female","Under25years","Laoighis County","2002M04","182"
"174","Female","Under25years","Leitrim County","2002M04","54"
"175","Female","Under25years","Limerick County","2002M04","549"
"176","Female","Under25years","Longford County","2002M04","130"
"177","Female","Under25years","Louth County","2002M04","618"
"178","Female","Under25years","Mayo County","2002M04","339"
"179","Female","Under25years","Meath County","2002M04","215"
"180","Female","Under25years","Monaghan County","2002M04","190"
"181","Female","Under25years","North Tipperary","2002M04","189"
"182","Female","Under25years","Offaly County","2002M04","209"
"183","Female","Under25years","Roscommon County","2002M04","96"
"184","Female","Under25years","Sligo County","2002M04","201"
"185","Female","Under25years","South Tipperary","2002M04","282"
"186","Female","Under25years","Waterford County","2002M04","435"
"187","Female","Under25years","Westmeath County","2002M04","316"
"188","Female","Under25years","Wexford County","2002M04","618"
"189","Female","Under25years","Wicklow County","2002M04","274"
"190","Female","25yearsandover","Carlow County","2002M04","706"
"191","Female","25yearsandover","Cavan County","2002M04","603"
"192","Female","25yearsandover","Clare County","2002M04","1247"
"193","Female","25yearsandover","Cork County","2002M04","5154"
"194","Female","25yearsandover","Donegal County","2002M04","2831"
"195","Female","25yearsandover","Dublin County","2002M04","11518"
"196","Female","25yearsandover","Galway County","2002M04","2695"
"197","Female","25yearsandover","Kerry County","2002M04","1865"
"198","Female","25yearsandover","Kildare County","2002M04","1423"
"199","Female","25yearsandover","Kilkenny County","2002M04","675"
"200","Female","25yearsandover","Laoighis County","2002M04","699"
"201","Female","25yearsandover","Leitrim County","2002M04","416"
"202","Female","25yearsandover","Limerick County","2002M04","2310"
"203","Female","25yearsandover","Longford County","2002M04","537"
"204","Female","25yearsandover","Louth County","2002M04","2576"
"205","Female","25yearsandover","Mayo County","2002M04","2036"
"206","Female","25yearsandover","Meath County","2002M04","975"
"207","Female","25yearsandover","Monaghan County","2002M04","861"
"208","Female","25yearsandover","North Tipperary","2002M04","717"
"209","Female","25yearsandover","Offaly County","2002M04","875"
"210","Female","25yearsandover","Roscommon County","2002M04","496"
"211","Female","25yearsandover","Sligo County","2002M04","742"
"212","Female","25yearsandover","South Tipperary","2002M04","1079"
"213","Female","25yearsandover","Waterford County","2002M04","1871"
"214","Female","25yearsandover","Westmeath County","2002M04","1151"
"215","Female","25yearsandover","Wexford County","2002M04","2261"
"216","Female","25yearsandover","Wicklow County","2002M04","1331"
"217","Male","Under25years","Carlow County","2002M05","225"
"218","Male","Under25years","Cavan County","2002M05","199"
"219","Male","Under25years","Clare County","2002M05","324"
"220","Male","Under25years","Cork County","2002M05","1754"
"221","Male","Under25years","Donegal County","2002M05","1185"
"222","Male","Under25years","Dublin County","2002M05","4572"
"223","Male","Under25years","Galway County","2002M05","958"
"224","Male","Under25years","Kerry County","2002M05","490"
"225","Male","Under25years","Kildare County","2002M05","439"
"226","Male","Under25years","Kilkenny County","2002M05","269"
"227","Male","Under25years","Laoighis County","2002M05","241"
"228","Male","Under25years","Leitrim County","2002M05","86"
"229","Male","Under25years","Limerick County","2002M05","905"
"230","Male","Under25years","Longford County","2002M05","195"
"231","Male","Under25years","Louth County","2002M05","939"
"232","Male","Under25years","Mayo County","2002M05","541"
"233","Male","Under25years","Meath County","2002M05","302"
"234","Male","Under25years","Monaghan County","2002M05","292"
"235","Male","Under25years","North Tipperary","2002M05","235"
"236","Male","Under25years","Offaly County","2002M05","262"
"237","Male","Under25years","Roscommon County","2002M05","110"
"238","Male","Under25years","Sligo County","2002M05","265"
"239","Male","Under25years","South Tipperary","2002M05","437"
"240","Male","Under25years","Waterford County","2002M05","628"
"241","Male","Under25years","Westmeath County","2002M05","300"
"242","Male","Under25years","Wexford County","2002M05","670"
"243","Male","Under25years","Wicklow County","2002M05","435"
"244","Male","25yearsandover","Carlow County","2002M05","941"
"245","Male","25yearsandover","Cavan County","2002M05","960"
"246","Male","25yearsandover","Clare County","2002M05","1657"
"247","Male","25yearsandover","Cork County","2002M05","8361"
"248","Male","25yearsandover","Donegal County","2002M05","4980"
"249","Male","25yearsandover","Dublin County","2002M05","19713"
"250","Male","25yearsandover","Galway County","2002M05","4146"
"251","Male","25yearsandover","Kerry County","2002M05","2724"
"252","Male","25yearsandover","Kildare County","2002M05","1846"
"253","Male","25yearsandover","Kilkenny County","2002M05","1083"
"254","Male","25yearsandover","Laoighis County","2002M05","906"
"255","Male","25yearsandover","Leitrim County","2002M05","628"
"256","Male","25yearsandover","Limerick County","2002M05","3621"
"257","Male","25yearsandover","Longford County","2002M05","874"
"258","Male","25yearsandover","Louth County","2002M05","3514"
"259","Male","25yearsandover","Mayo County","2002M05","3091"
"260","Male","25yearsandover","Meath County","2002M05","1395"
"261","Male","25yearsandover","Monaghan County","2002M05","1217"
"262","Male","25yearsandover","North Tipperary","2002M05","991"
"263","Male","25yearsandover","Offaly County","2002M05","1111"
"264","Male","25yearsandover","Roscommon County","2002M05","778"
"265","Male","25yearsandover","Sligo County","2002M05","1118"
"266","Male","25yearsandover","South Tipperary","2002M05","1689"
"267","Male","25yearsandover","Waterford County","2002M05","2613"
"268","Male","25yearsandover","Westmeath County","2002M05","1374"
"269","Male","25yearsandover","Wexford County","2002M05","2897"
"270","Male","25yearsandover","Wicklow County","2002M05","1870"
"271","Female","Under25years","Carlow County","2002M05","182"
"272","Female","Under25years","Cavan County","2002M05","127"
